Stock,Daily mean,Annualized rate of return,Annualized volatility,Sharpe ratio,Cumulative return,Max drawdown,Win rate,Composite score,Cluster_Index
stock_8_HSI,0.0011938064516129,0.3008392258064519,0.4549102817977664,0.6613155117478574,0.214641393329078,-0.2946735953632293,0.4475806451612903,0.3991847826086956,1
stock_41_HSI,0.0006550120967741,0.1650630483870971,0.3068158544012665,0.5379873498037061,0.1231537279444532,-0.2154692337734601,0.4717741935483871,0.3771739130434782,2
stock_66_SP100,0.0002999677419354,0.0755918709677422,0.204739594849263,0.3692098298006102,0.05502806531491,-0.1838137648886984,0.5201612903225806,0.3736413043478261,5
stock_31_HSI,0.0003527620967741,0.0888960483870969,0.2350555760364458,0.3781916170042841,0.0623387648236948,-0.1643194885927627,0.4758064516129032,0.3616847826086956,2
stock_3_HSI,0.0003979717741935,0.1002888870967746,0.2838481355235065,0.353318815752691,0.0611054083695459,-0.2295986073114158,0.5161290322580645,0.3456521739130435,5
stock_73_SP100,0.0015940120967741,0.4016910483870963,1.051258949074818,0.3821047599553019,-0.6839430475352,-0.9192175159820848,0.5806451612903226,0.3429347826086957,7
stock_20_HSI,0.0003782419354838,0.0953169677419348,0.2509960641621022,0.3797548302605085,0.0650827420827975,-0.22569070382259,0.4838709677419355,0.3418478260869565,2
stock_31_SP100,-7.419758064516039e-05,-0.0186977903225804,0.2012089938992803,-0.0929272094662926,-0.0376621896779969,-0.1710472954772537,0.5483870967741935,0.3323369565217391,5
stock_28_HSI,0.0009209637096774,0.23208285483871,0.5323094756850606,0.4359923417482449,0.0932152935662489,-0.3580028618028046,0.4838709677419355,0.3301630434782608,1
stock_25_HSI,0.0015581653225806,0.3926576612903221,0.797352467367863,0.4924518043902501,0.0876468778302335,-0.5083355383337196,0.4274193548387097,0.3298913043478261,8
stock_45_HSI,0.0005684717741935,0.1432548870967734,0.3331746867811743,0.4299693007316061,0.0904152321001789,-0.3442645159851414,0.4758064516129032,0.3154891304347825,2
stock_4_HSI,0.0006296693548387,0.1586766774193545,0.407394685540136,0.389491279713127,0.0786168497657309,-0.272541109098978,0.4435483870967742,0.308695652173913,1
stock_24_HSI,0.0002949556451612,0.0743288225806452,0.2811427081168774,0.264381114767327,0.0351133261185987,-0.3181305883187771,0.4959677419354839,0.2894021739130434,2
stock_91_SP100,0.0006647903225806,0.167527161290322,0.5459545549861332,0.3068518428142377,0.0193089668817523,-0.4566636580219307,0.5201612903225806,0.2891304347826087,1
stock_55_HSI,0.0006853629032258,0.1727114516129021,0.4321271177279432,0.3996774202021663,0.0815917401342662,-0.3792650409683519,0.4435483870967742,0.2842391304347826,1
stock_76_SP100,-4.320161290322268e-05,-0.0108868064516121,0.2467095784086824,-0.0441280250318362,-0.0397623485707752,-0.1919369439579418,0.4919354838709677,0.2839673913043478,2
stock_56_HSI,0.0002789153225806,0.0702866612903225,0.3553311746386811,0.1978060646150556,0.0070550848586123,-0.2893825248291232,0.4838709677419355,0.2758152173913043,2
stock_53_HSI,8.564516129032452e-05,0.0215825806451617,0.3060207372909979,0.0705265297908184,-0.0244364330039722,-0.2585578678510184,0.4637096774193548,0.2605978260869565,2
stock_83_SP100,0.0003728467741935,0.0939573870967741,0.3840823943711364,0.2446282060145242,0.0234583400647352,-0.3237573410068647,0.4516129032258064,0.2597826086956522,1
stock_24_SP100,-4.047983870967705e-05,-0.0102009193548386,0.2282769112464531,-0.0446866014575844,-0.0352007850761586,-0.2103536776279694,0.4475806451612903,0.2584239130434783,2
stock_46_HSI,0.0004012580645161,0.1011170322580636,0.5212911414519404,0.1939742002452308,-0.0338038521586515,-0.3624037947556241,0.4919354838709677,0.2570652173913044,1
stock_33_HSI,-4.59516129032261e-05,-0.0115798064516129,0.2662082433145263,-0.0434990528746751,-0.0452237889079624,-0.2298836461256398,0.4758064516129032,0.2548913043478261,2
stock_23_HSI,0.0004754999999999,0.1198259999999991,0.5043678779564892,0.2375765889086542,-0.0054527774383108,-0.3523020891670627,0.4516129032258064,0.2508152173913043,1
stock_95_SP100,-0.0002321088709677,-0.0584914354838707,0.2685480136351138,-0.2178062488421354,-0.089673585325918,-0.2431567347675687,0.5201612903225806,0.25,2
stock_18_HSI,0.0003084153225806,0.0777206612903223,0.4561416977394714,0.1703871004897978,-0.0244319133497477,-0.4293810980246638,0.4919354838709677,0.2396739130434782,1
stock_19_SP100,-7.002419354838483e-05,-0.0176460967741929,0.2705278296946569,-0.0652283973671397,-0.0516759601697299,-0.2994160260387197,0.4959677419354839,0.2369565217391304,2
stock_65_HSI,0.000201189516129,0.0506997580645153,0.4250142195659963,0.1192895572206677,-0.0372203988395891,-0.3102153840063076,0.4637096774193548,0.233695652173913,1
stock_30_SP100,-0.0003370443548387,-0.0849351774193562,0.3133356117022869,-0.2710677441287991,-0.1251215797953792,-0.3413148424846754,0.5362903225806451,0.2179347826086956,2
stock_6_SP100,-0.0001105120967741,-0.0278490483870966,0.3454570992538759,-0.0806150704305844,-0.0827798809139231,-0.3083682136302879,0.4838709677419355,0.2135869565217391,2
stock_26_SP100,-0.0004186330645161,-0.1054955322580649,0.2160671674829824,-0.488253414375758,-0.1190480589214971,-0.2337476488922274,0.4717741935483871,0.2021739130434782,2
stock_35_HSI,0.0003592620967741,0.0905340483870967,0.6587806454387712,0.1374266973596315,-0.1108556781968901,-0.4759028816982606,0.4475806451612903,0.197554347826087,8
stock_6_HSI,-2.8669354838759613e-06,-0.0007224677419367,0.3413063926969601,-0.0021167717845185,-0.0563003018369629,-0.3766904106716374,0.439516129032258,0.1956521739130434,2
stock_29_HSI,-0.000276814516129,-0.069757258064516,0.3933435132234767,-0.1773443713177079,-0.1346491546007565,-0.3459648001106034,0.5040322580645161,0.1945652173913044,2
stock_62_HSI,7.678225806451032e-05,0.0193491290322566,0.4168482778029572,0.0464176777561328,-0.0632153054930759,-0.4522474753295715,0.4354838709677419,0.1820652173913043,2
stock_64_HSI,0.0003579919354838,0.0902139677419341,0.6774047649976624,0.1331758682598659,-0.1257903499603483,-0.6141178991181996,0.4475806451612903,0.1785326086956521,8
stock_80_HSI,-0.000360004032258,-0.0907210161290337,0.419832431585768,-0.216088632758473,-0.1613580205809338,-0.341242066177005,0.4798387096774194,0.1722826086956521,2
stock_27_HSI,-0.0006057459677419,-0.1526479838709682,0.2726735589615781,-0.559819530915638,-0.1707347575882239,-0.2823669929655477,0.4838709677419355,0.1673913043478261,2
stock_75_HSI,1.0124999999996136e-05,0.002551499999999,0.5744741037976413,0.0044414534669743,-0.1483105060639187,-0.5094066594451919,0.4516129032258064,0.1654891304347825,8
stock_26_HSI,-1.067741935483954e-05,-0.0026907096774195,0.5356780324263193,-0.0050229979848756,-0.1312519443270249,-0.4179593424222397,0.4274193548387097,0.1630434782608696,2
stock_14_SP100,-0.0004312701612903,-0.1086800806451618,0.3348112687595309,-0.3246010238777787,-0.1500300810401762,-0.4451873090523373,0.5,0.1627717391304347,2
stock_30_HSI,0.0002022499999999,0.0509669999999999,0.7003566389168732,0.0727729233477706,-0.1686030560537301,-0.5255797895627515,0.4153225806451613,0.158695652173913,8
stock_83_HSI,-0.0004688266129032,-0.1181443064516129,0.4799118957781029,-0.2461791580724629,-0.2098182636791087,-0.3471617595851814,0.4838709677419355,0.1551630434782608,2
stock_71_SP100,-0.0007049596774193,-0.1776498387096768,0.3473405666605535,-0.511457214507539,-0.211638120367983,-0.4203371314766875,0.532258064516129,0.1546195652173912,2
