Stock Similarity Group Detection
========================================
Method: Z-score normalized cosine similarity
High similarity threshold: >= 0.9
Low similarity threshold: <= -0.7

High similarity groups (1541 pairs)
----------------------------------------
stock_77_HSI <-> stock_68_HSI: 0.983946
stock_22_SP100 <-> stock_79_HSI: 0.983895
stock_71_HSI <-> stock_69_HSI: 0.983866
stock_35_SP100 <-> stock_38_SP100: 0.983766
stock_69_HSI <-> stock_66_HSI: 0.983754
stock_16_SP100 <-> stock_13_SP100: 0.983573
stock_13_SP100 <-> stock_86_SP100: 0.983472
stock_53_SP100 <-> stock_54_SP100: 0.983457
stock_33_SP100 <-> stock_5_HSI: 0.983393
stock_44_SP100 <-> stock_57_SP100: 0.983319
stock_32_SP100 <-> stock_29_SP100: 0.983128
stock_15_SP100 <-> stock_57_SP100: 0.982919
stock_83_SP100 <-> stock_6_HSI: 0.982912
stock_13_SP100 <-> stock_99_SP100: 0.982882
stock_52_SP100 <-> stock_17_SP100: 0.982858
stock_13_SP100 <-> stock_50_SP100: 0.982849
stock_6_SP100 <-> stock_22_SP100: 0.982835
stock_56_HSI <-> stock_32_HSI: 0.982789
stock_80_HSI <-> stock_67_HSI: 0.982655
stock_56_HSI <-> stock_67_HSI: 0.982555
stock_16_SP100 <-> stock_67_SP100: 0.982416
stock_35_SP100 <-> stock_23_SP100: 0.982334
stock_63_SP100 <-> stock_64_SP100: 0.982221
stock_22_HSI <-> stock_69_HSI: 0.982131
stock_44_SP100 <-> stock_18_SP100: 0.982107
stock_50_SP100 <-> stock_86_SP100: 0.982029
stock_82_SP100 <-> stock_57_SP100: 0.981976
stock_18_SP100 <-> stock_45_SP100: 0.981964
stock_26_SP100 <-> stock_27_HSI: 0.981951
stock_14_SP100 <-> stock_61_HSI: 0.981907
stock_20_SP100 <-> stock_57_SP100: 0.981847
stock_3_SP100 <-> stock_98_SP100: 0.981719
stock_96_SP100 <-> stock_37_HSI: 0.981643
stock_80_HSI <-> stock_32_HSI: 0.981628
stock_76_SP100 <-> stock_33_HSI: 0.981602
stock_78_SP100 <-> stock_59_HSI: 0.981577
stock_35_HSI <-> stock_64_HSI: 0.981519
stock_33_SP100 <-> stock_92_SP100: 0.981497
stock_14_SP100 <-> stock_22_SP100: 0.981438
stock_41_SP100 <-> stock_54_HSI: 0.981363
stock_44_SP100 <-> stock_25_SP100: 0.981336
stock_86_SP100 <-> stock_25_SP100: 0.981324
stock_50_SP100 <-> stock_74_SP100: 0.981302
stock_52_SP100 <-> stock_62_SP100: 0.981285
stock_53_HSI <-> stock_33_HSI: 0.981148
stock_86_SP100 <-> stock_11_SP100: 0.981119
stock_77_HSI <-> stock_38_HSI: 0.981118
stock_79_HSI <-> stock_21_HSI: 0.981036
stock_25_SP100 <-> stock_70_SP100: 0.981029
stock_63_HSI <-> stock_21_HSI: 0.981017
stock_49_HSI <-> stock_14_HSI: 0.980965
stock_16_SP100 <-> stock_44_SP100: 0.980944
stock_50_SP100 <-> stock_11_SP100: 0.980902
stock_29_SP100 <-> stock_93_SP100: 0.980892
stock_23_SP100 <-> stock_54_SP100: 0.980715
stock_41_SP100 <-> stock_72_SP100: 0.980528
stock_79_SP100 <-> stock_58_SP100: 0.980500
stock_13_SP100 <-> stock_55_SP100: 0.980480
stock_14_SP100 <-> stock_63_HSI: 0.980478
stock_47_SP100 <-> stock_21_SP100: 0.980385
stock_7_SP100 <-> stock_98_SP100: 0.980345
stock_47_HSI <-> stock_69_HSI: 0.980325
stock_77_HSI <-> stock_47_HSI: 0.980166
stock_27_SP100 <-> stock_67_SP100: 0.980037
stock_62_SP100 <-> stock_35_SP100: 0.980021
stock_43_HSI <-> stock_88_SP100: 0.979920
stock_85_SP100 <-> stock_33_SP100: 0.979883
stock_2_SP100 <-> stock_7_SP100: 0.979827
stock_53_SP100 <-> stock_79_SP100: 0.979734
stock_29_HSI <-> stock_83_HSI: 0.979665
stock_99_SP100 <-> stock_57_SP100: 0.979463
stock_61_SP100 <-> stock_68_SP100: 0.979440
stock_6_SP100 <-> stock_27_HSI: 0.979434
stock_69_SP100 <-> stock_55_SP100: 0.979298
stock_23_SP100 <-> stock_38_SP100: 0.979201
stock_85_SP100 <-> stock_15_HSI: 0.978905
stock_13_SP100 <-> stock_18_SP100: 0.978892
stock_6_SP100 <-> stock_32_HSI: 0.978873
stock_90_SP100 <-> stock_27_SP100: 0.978775
stock_85_SP100 <-> stock_38_SP100: 0.978740
stock_71_HSI <-> stock_66_HSI: 0.978609
stock_18_SP100 <-> stock_69_SP100: 0.978608
stock_58_SP100 <-> stock_61_SP100: 0.978562
stock_18_SP100 <-> stock_17_SP100: 0.978514
stock_56_SP100 <-> stock_38_SP100: 0.978414
stock_61_HSI <-> stock_79_HSI: 0.978364
stock_39_SP100 <-> stock_81_SP100: 0.978354
stock_16_SP100 <-> stock_90_SP100: 0.978262
stock_13_SP100 <-> stock_20_SP100: 0.978200
stock_65_HSI <-> stock_77_HSI: 0.978187
stock_18_SP100 <-> stock_62_SP100: 0.978164
stock_13_SP100 <-> stock_25_SP100: 0.978120
stock_83_HSI <-> stock_22_SP100: 0.978110
stock_65_SP100 <-> stock_36_SP100: 0.978012
stock_22_SP100 <-> stock_63_HSI: 0.977948
stock_1_SP100 <-> stock_62_SP100: 0.977929
stock_20_HSI <-> stock_33_HSI: 0.977878
stock_56_HSI <-> stock_80_HSI: 0.977832
stock_75_SP100 <-> stock_60_SP100: 0.977646
stock_29_HSI <-> stock_61_HSI: 0.977519
stock_67_HSI <-> stock_79_HSI: 0.977498
stock_13_SP100 <-> stock_27_SP100: 0.977449
stock_88_SP100 <-> stock_16_HSI: 0.977354
stock_78_SP100 <-> stock_74_HSI: 0.977309
stock_67_SP100 <-> stock_41_SP100: 0.977165
stock_80_HSI <-> stock_79_HSI: 0.977149
stock_53_SP100 <-> stock_38_SP100: 0.977118
stock_44_SP100 <-> stock_15_SP100: 0.977111
stock_82_SP100 <-> stock_86_SP100: 0.976933
stock_45_HSI <-> stock_62_HSI: 0.976731
stock_33_SP100 <-> stock_15_HSI: 0.976715
stock_27_SP100 <-> stock_62_SP100: 0.976651
stock_50_SP100 <-> stock_15_SP100: 0.976588
stock_87_SP100 <-> stock_33_SP100: 0.976534
stock_38_HSI <-> stock_22_HSI: 0.976461
stock_2_HSI <-> stock_36_SP100: 0.976417
stock_82_SP100 <-> stock_45_SP100: 0.976414
stock_90_SP100 <-> stock_18_SP100: 0.976390
stock_16_SP100 <-> stock_52_SP100: 0.976344
stock_14_SP100 <-> stock_22_HSI: 0.976261
stock_83_SP100 <-> stock_65_HSI: 0.976224
stock_80_HSI <-> stock_22_HSI: 0.976181
stock_72_SP100 <-> stock_54_HSI: 0.976019
stock_47_SP100 <-> stock_55_SP100: 0.975996
stock_23_HSI <-> stock_77_HSI: 0.975912
